Date,Open,High,Low,Close,Adj Close,Volume
3/1/1991,367.070007,370.470001,363.730011,370.470001,370.470001,221510000
4/1/1991,375.220001,375.220001,370.269989,371.299988,371.299988,144010000
5/1/1991,375.350006,380.459991,375.269989,380.290009,380.290009,181900000
6/1/1991,389.809998,389.809998,386.970001,388.059998,388.059998,173990000
7/1/1991,371.179993,377.920013,371.179993,377.920013,377.920013,167480000
8/1/1991,387.809998,387.950012,386.480011,387.119995,387.119995,170610000
9/1/1991,395.429993,397.619995,392.100006,392.149994,392.149994,153600000
10/1/1991,387.859985,389.559998,387.859985,389.200012,389.200012,163570000
11/1/1991,392.459991,395.100006,389.670013,391.320007,391.320007,205780000
12/1/1991,375.109985,381.399994,371.359985,381.399994,381.399994,188410000
1/1/1992,417.029999,417.269989,411.040009,417.26001,417.26001,207570000
2/1/1992,408.790009,409.950012,407.450012,409.529999,409.529999,185290000
3/1/1992,412.679993,413.73999,411.519989,412.450012,412.450012,180380000
4/1/1992,403.670013,404.5,400.75,404.230011,404.230011,186530000
5/1/1992,414.950012,415.209991,409.869995,412.529999,412.529999,177390000
6/1/1992,415.350006,417.299988,412.440002,417.299988,417.299988,180800000
7/1/1992,408.200012,412.880005,408.200012,412.880005,412.880005,214250000
8/1/1992,424.190002,425.089996,422.839996,425.089996,425.089996,164460000
9/1/1992,414.029999,416.070007,413.350006,416.070007,416.070007,172680000
10/1/1992,417.799988,418.670013,415.459991,416.290009,416.290009,204780000
11/1/1992,418.660004,422.75,418.119995,422.75,422.75,203280000
12/1/1992,431.350006,431.470001,429.200012,430.779999,430.779999,259050000
1/1/1993,435.700012,437.320007,434.480011,435.380005,435.380005,201210000
2/1/1993,438.779999,442.519989,438.779999,442.519989,442.519989,238570000
3/1/1993,443.380005,444.179993,441.339996,442.01001,442.01001,232460000
4/1/1993,451.670013,452.630005,449.600006,450.299988,450.299988,234530000
5/1/1993,440.190002,442.589996,438.25,442.459991,442.459991,224970000
6/1/1993,450.230011,455.630005,450.230011,453.829987,453.829987,229690000
7/1/1993,450.540009,451.149994,448.709991,449.019989,449.019989,292040000
8/1/1993,448.130005,450.149994,448.029999,450.149994,450.149994,230380000
9/1/1993,463.549988,463.799988,461.769989,463.149994,463.149994,245040000
10/1/1993,458.929993,461.480011,458.350006,461.279999,461.279999,256880000
11/1/1993,467.829987,469.109985,467.329987,469.100006,469.100006,256030000
12/1/1993,461.929993,464.470001,461.630005,461.890015,461.890015,293870000
1/1/1994,466.51001,466.940002,464.359985,465.440002,465.440002,270140000
2/1/1994,481.600006,481.640015,479.179993,479.619995,479.619995,322510000
3/1/1994,467.190002,467.429993,462.019989,464.440002,464.440002,304450000
4/1/1994,445.660004,445.660004,435.859985,438.920013,438.920013,344390000
5/1/1994,450.910004,453.570007,449.049988,453.019989,453.019989,296130000
6/1/1994,456.5,458.290009,453.98999,457.630005,457.630005,279910000
7/1/1994,444.269989,446.450012,443.579987,446.200012,446.200012,199030000
8/1/1994,458.279999,461.01001,458.079987,461.01001,461.01001,258180000
9/1/1994,475.48999,475.48999,471.73999,473.170013,473.170013,282830000
10/1/1994,462.690002,463.309998,460.329987,461.73999,461.73999,269130000
11/1/1994,472.26001,472.26001,467.640015,468.420013,468.420013,314940000
12/1/1994,453.549988,453.910004,447.970001,448.920013,448.920013,285920000
1/1/1995,459.209991,459.269989,457.200012,459.109985,459.109985,262450000
2/1/1995,470.420013,472.75,469.290009,470.399994,470.399994,395310000
3/1/1995,487.390015,487.829987,484.920013,485.649994,485.649994,362600000
4/1/1995,500.700012,501.910004,500.200012,501.850006,501.850006,296430000
5/1/1995,514.76001,515.599976,513.419983,514.26001,514.26001,296830000
6/1/1995,533.400024,534.210022,530.049988,533.48999,533.48999,345920000
7/1/1995,544.75,547.099976,544.429993,547.090027,547.090027,117900000
8/1/1995,562.059998,562.109985,556.669983,559.640015,559.640015,332210000
9/1/1995,561.880005,564.619995,561.01001,563.840027,563.840027,256730000
10/1/1995,584.409973,585.049988,580.539978,581.719971,581.719971,304990000
11/1/1995,581.5,584.23999,581.039978,584.219971,584.219971,378090000
12/1/1995,605.369995,608.109985,605.369995,606.97998,606.97998,393310000
1/1/1996,615.929993,620.73999,613.169983,620.72998,620.72998,364180000
2/1/1996,636.02002,638.460022,634.539978,638.460022,638.460022,461430000
3/1/1996,640.429993,644.380005,635,644.369995,644.369995,471480000
4/1/1996,645.5,653.869995,645.5,653.72998,653.72998,392120000
5/1/1996,654.169983,656.440002,652.26001,654.580017,654.580017,404620000
6/1/1996,669.119995,669.119995,665.190002,667.679993,667.679993,318470000
7/1/1996,670.630005,675.880005,670.630005,675.880005,675.880005,345750000
8/1/1996,639.950012,650.659973,639.48999,650.02002,650.02002,439110000
9/1/1996,651.98999,655.130005,643.969971,654.719971,654.719971,345740000
10/1/1996,687.309998,689.539978,684.440002,689.080017,689.080017,421550000
11/1/1996,705.27002,708.599976,701.299988,703.77002,703.77002,465510000
12/1/1996,757.02002,757.030029,751.48999,756.559998,756.559998,412520000
1/1/1997,740.73999,742.809998,729.549988,737.01001,737.01001,463230000
2/1/1997,786.159973,787.140015,783.119995,786.72998,786.72998,463600000
3/1/1997,790.820007,795.309998,785.659973,795.309998,795.309998,437220000
4/1/1997,757.119995,761.48999,751.26001,759.640015,759.640015,515770000
5/1/1997,801.340027,802.950012,793.210022,798.530029,798.530029,460380000
6/1/1997,848.280029,851.340027,844.609985,846.359985,846.359985,435950000
7/1/1997,885.140015,893.880005,884.539978,891.030029,891.030029,544190000
8/1/1997,954.289978,955.349976,939.039978,947.140015,947.140015,513750000
9/1/1997,899.469971,927.580017,899.469971,927.580017,927.580017,491870000
10/1/1997,947.280029,956.710022,947.280029,955.409973,955.409973,598660000
11/1/1997,914.619995,939.02002,914.619995,938.98999,938.98999,564740000
12/1/1997,955.400024,974.77002,955.400024,974.77002,974.77002,590300000
1/1/1998,970.429993,975.039978,965.72998,975.039978,975.039978,366730000
2/1/1998,980.280029,1002.47998,980.280029,1001.27002,1001.27002,724320000
3/1/1998,1049.339966,1053.97998,1044.699951,1047.699951,1047.699951,591470000
4/1/1998,1101.75,1109.189941,1095.290039,1108.150024,1108.150024,677310000
5/1/1998,1111.75,1121.02002,1111.75,1121,1121,581970000
6/1/1998,1090.819946,1097.849976,1084.219971,1090.97998,1090.97998,537660000
7/1/1998,1133.839966,1148.560059,1133.839966,1148.560059,1148.560059,701600000
8/1/1998,1120.670044,1121.790039,1110.390015,1112.439941,1112.439941,620400000
9/1/1998,957.280029,1000.710022,939.97998,994.26001,994.26001,1216600000
10/1/1998,1017.01001,1017.01001,981.289978,986.390015,986.390015,899700000
11/1/1998,1098.670044,1114.439941,1098.670044,1111.599976,1111.599976,753800000
12/1/1998,1163.630005,1175.890015,1150.310059,1175.280029,1175.280029,789200000
1/1/1999,1229.22998,1248.810059,1219.099976,1228.099976,1228.099976,877000000
2/1/1999,1279.640015,1283.75,1271.310059,1273,1273,799400000
3/1/1999,1238.329956,1238.699951,1221.880005,1236.160034,1236.160034,699500000
4/1/1999,1286.369995,1294.540039,1282.560059,1293.719971,1293.719971,703000000
5/1/1999,1335.180054,1354.630005,1329.01001,1354.630005,1354.630005,811400000
6/1/1999,1301.839966,1301.839966,1281.439941,1294.26001,1294.26001,683800000
7/1/1999,1372.709961,1382.800049,1360.800049,1380.959961,1380.959961,843400000
8/1/1999,1328.719971,1344.689941,1325.209961,1328.050049,1328.050049,649550000
9/1/1999,1320.410034,1331.180054,1320.390015,1331.069946,1331.069946,708200000
10/1/1999,1282.709961,1283.170044,1265.780029,1282.810059,1282.810059,896200000
11/1/1999,1362.930054,1367.300049,1354.050049,1354.119995,1354.119995,861000000
12/1/1999,1388.910034,1400.119995,1387.380005,1397.719971,1397.719971,884000000
1/1/2000,1469.25,1478,1438.359985,1455.219971,1455.219971,931800000
2/1/2000,1394.459961,1412.48999,1384.790039,1409.280029,1409.280029,981000000
3/1/2000,1366.420044,1383.459961,1366.420044,1379.189941,1379.189941,1274100000
4/1/2000,1498.579956,1507.189941,1486.959961,1505.969971,1505.969971,1021700000
5/1/2000,1452.430054,1481.51001,1452.430054,1468.25,1468.25,966300000
6/1/2000,1420.599976,1448.810059,1420.599976,1448.810059,1448.810059,960100000
7/1/2000,1454.599976,1469.579956,1450.849976,1469.540039,1469.540039,451900000
8/1/2000,1430.829956,1443.540039,1428.959961,1438.099976,1438.099976,938700000
9/1/2000,1517.680054,1530.089966,1515.530029,1520.77002,1520.77002,767700000
10/1/2000,1436.52002,1445.599976,1429.829956,1436.22998,1436.22998,1051200000
11/1/2000,1429.400024,1429.599976,1410.449951,1421.219971,1421.219971,1206800000
12/1/2000,1314.949951,1334.670044,1307.02002,1315.22998,1315.22998,1195200000
1/1/2001,1320.280029,1320.280029,1276.050049,1283.27002,1283.27002,1129400000
2/1/2001,1366.01001,1373.5,1359.339966,1373.469971,1373.469971,1118800000
3/1/2001,1239.939941,1241.359985,1214.5,1241.22998,1241.22998,1294900000
